Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
67.15,-2.25,-2.67,11.98,1.85,0.21,1286.43,2.57,0
67.4,-2.24,-2.69,11.95,1.94,0.21,1177.9,2.58,0
66.89,-2.23,-2.71,11.93,2.02,0.21,1085.55,2.58,0
67.15,-1.61,-4.53,5.04,3.96,0.09,996.86,2.58,0
68.21,-1.59,-4.54,13.2,2.89,0.23,911.44,2.58,0
68.67,-1.58,-4.56,13.19,2.76,0.23,931.37,2.58,0
68.07,-1.56,-4.57,13.18,2.64,0.23,996.51,2.57,0
68.75,-1.54,-4.58,13.17,2.51,0.23,880.09,2.57,0
69.48,-1.52,-4.6,13.16,2.39,0.24,991.31,2.55,0
68.97,-1.5,-4.61,13.14,2.26,0.23,1007.58,2.54,0
68.99,-1.48,-4.62,11.38,3.79,0.2,1065.28,2.51,0
63.27,-1.46,-4.64,11.42,3.73,0.2,1120.94,2.55,0
64.19,-1.44,-4.65,11.45,3.66,0.2,999.5,2.54,0
65.13,-1.42,-4.66,11.49,3.6,0.2,149.89,2.52,0
64.94,-1.39,-4.67,11.52,3.54,0.2,150.11,2.5,0
66.71,-1.37,-4.69,6.99,3.46,0.12,149.17,2.4,0
67.32,-1.35,-4.7,7.03,3.47,0.12,149.13,2.3,0
66.72,-1.33,-4.71,7.06,3.47,0.12,149.14,2.27,0
67.36,-1.31,-4.72,7.09,3.48,0.13,147.79,2.18,0
68.83,-1.28,-4.73,7.13,3.49,0.13,147.78,2.12,0
68.23,-1.26,-4.74,8.41,1.69,0.15,148.23,2.11,0
68.44,-1.24,-4.75,8.41,1.68,0.15,148.13,2.11,0
67.61,-1.21,-4.76,8.42,1.67,0.15,147.69,2.1,0
68.54,-1.19,-4.77,8.43,1.67,0.15,149.07,2.11,0
68.74,-1.16,-4.78,8.43,1.66,0.15,149.14,2.13,0
67.88,-2.76,-3.6,10.06,0.47,0.18,158.0,2.13,0
68.05,-2.78,-3.63,10.11,0.51,0.18,157.87,2.16,0
67.16,-2.79,-3.66,10.17,0.55,0.18,158.23,2.17,0
67.29,-2.81,-3.69,10.22,0.58,0.18,158.6,2.22,0
68.33,-2.83,-3.72,10.27,0.62,0.18,158.47,2.34,0
68.47,-1.98,-4.8,10.63,11.44,0.19,158.84,2.4,0
70.25,-1.99,-4.82,10.64,11.46,0.19,158.82,2.43,0
71.0,-2.0,-4.85,10.65,11.47,0.19,159.3,2.38,0
73.55,-2.0,-4.87,10.66,11.49,0.2,159.54,2.33,0
75.42,-2.01,-4.89,10.67,11.5,0.2,159.71,2.4,0
77.01,-2.02,-4.92,10.68,11.52,0.2,160.05,2.45,0
80.83,-2.02,-4.94,10.69,11.54,0.2,159.99,2.48,0
82.79,-2.03,-4.96,10.69,11.55,0.2,160.34,2.51,0
90.19,-2.03,-4.98,10.7,11.56,0.21,160.28,2.69,0
93.2,-2.04,-5.01,10.7,11.58,0.21,160.62,2.7,0
